	Unnamed: 0	text	font_size
6	6	Rs. 4,999.00	22.0
8	8	Rs. 2,999.00	22.0
9	9		18.0
23	23	An Amazing Gift for Kids & Adults	36.0
30	30	Customer Reviews	24.0
59	59	Rs. 2,999.00	22.0
61	61	Rs. 4,999.00	22.0
64	64		18.0
74	74		18.0
81	81	Customer Reviews	24.0
113	113	Subscribe today and get 10% off your first purchase	18.0
114	114	Enter your email	17.0
115	115	Subscribe	18.0
117	117		18.0
